F001	N	NULL	NULL	Create a fictitious GL account and generate journal activity or hide activity via posting entries.
F002	N	NULL	NULL	Alter a cost center without authorization and process unauthorized cost transfers to this center, possibly distorting CO reporting.
F003	N	NULL	NULL	Alter a cost center without authorization and process unauthorized revenue entries to this center, possibly distorting CO reporting.
F004	N	NULL	NULL	Manipulate cost center reports to hide inappropriate journal entry posting.
F005	N	NULL	NULL	Create a non bona-fide bank account and create a check from it.
F006	N	NULL	NULL	Pay an invoice and hide it in an asset that would be depreciated over time.
F007	N	NULL	NULL	Create an invoice through ERS goods receipt and hide it in an asset that would be depreciated over time.
F008	N	NULL	NULL	Allows differences between cash deposited and cash collections posted to be covered up.
F009	N	NULL	NULL	Allocate costs to unauthorized cost centers thereby distorting financial reporting.
F010	N	NULL	NULL	Settle expenses from an unauthorized order and distort CO reporting.
F011	N	NULL	NULL	Alter an activity type used for cost allocation purposes with fictitious data, thereby distorting the cost allocation process.
F012	N	NULL	NULL	User responsible for asset masters records could process transactions that would allow the asset to be depreciated over time.
F013	N	NULL	NULL	Create the asset and manipulate the receipt of the associated asset.
F017	N	NULL	NULL	Maintain a non bona-fide bank account and divert incoming payments to it.
F018	N	NULL	NULL	Open previously closed accounting periods and inappropriatlely post entries after month end.
F019	N	NULL	NULL	Open previously closed accounting periods and inappropriatlely post payments after month end.
F020	N	NULL	NULL	User able to open accounting periods previously closed and enter incoming payments after month end reporting.
F021	N	NULL	NULL	Open previously closed accounting periods and inappropriatlely receive or issue goods after month end.
F022	N	NULL	NULL	Create a fictitious GL account and generate miscellaneous general ledger activity or hide fraudulent activity via posting entries.
F023	N	NULL	NULL	Manipulate cost center reports to hide inappropriate miscellaneous journal entry postings.
F024	N	NULL	NULL	Open previously closed accounting periods and inappropriatlely post tax and currency journal entries after month end.
F025	N	NULL	NULL	Create a non bona-fide bank account and create a check from it.
F026	N	NULL	NULL	Open previously closed accounting periods and inappropriatlely post payments after month end.
H001	N	NULL	NULL	Modify payroll master data and then process payroll.  Potential for fraudulent activity.
H002	N	NULL	NULL	Change employee HR Benefits then process payroll without authorization. Potential for fraudulent activity.
H003	N	NULL	NULL	Change to master data and creating the remittance could result in fraudulent payments.
H004	N	NULL	NULL	Change payroll master data and enter time data applied to incorrect settings.
